player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
Brandon Brown-Dukes,brandon brown dukes,,RB,3816,617.4,671.5,
Marcus Tucker,marcus tucker,,WR,3817,404.2,,
Alex Ellis,alex ellis,,TE,3824,614.7,,
Jalen Simmons,jalen simmons,,RB,3859,472.0,,
Jalen Richard,jalen richard,LV,RB,3868,641.3,,
M.J. McFarland,m j mcfarland,,TE,3880,640.0,,
Marvin Hall,marvin hall,,WR,3895,,411.0,
Eric Wallace,eric wallace,,TE,3908,527.0,,
Kendal Thompson,kendal thompson,,WR,3917,625.3,,
Harvey Binford,harvey binford,,WR,3920,457.3,,
Blake Sims,blake sims,,QB,3957,608.0,,
Leonard Fournette,leonard fournette,,RB,3969,660.2,695.8,
Mitchell Trubisky,mitchell trubisky,TEN,QB,3976,,654.8,
Jacob Huesman,jacob huesman,,QB,3978,676.8,,
Chris Briggs,chris briggs,,TE,4004,541.9,,
Deshaun Watson,deshaun watson,CLE,QB,4017,,655.5,
Joe Mixon,joe mixon,,RB,4018,227.3,666.1,163.9
DeShone Kizer,deshone kizer,,QB,4026,680.3,608.0,
Dalvin Cook,dalvin cook,,RB,4029,633.6,659.5,
David Njoku,david njoku,LAC,TE,4033,223.3,224.6,130.6
Christian McCaffrey,christian mccaffrey,SF,RB,4034,5.8,4.8,4.9
Alvin Kamara,alvin kamara,NO,RB,4035,166.4,159.5,119.3
Corey Davis,corey davis,,WR,4036,604.3,,
Chris Godwin,chris godwin,TB,WR,4037,93.8,90.0,88.4
John Ross,john ross,,WR,4038,,699.0,
Cooper Kupp,cooper kupp,SEA,WR,4039,198.0,203.7,206.4
JuJu Smith-Schuster,juju smith schuster,,WR,4040,,579.9,
Patrick Mahomes,patrick mahomes,KC,QB,4046,111.3,115.0,102.3
Cyril Grayson,cyril grayson,,WR,4050,292.3,,
Chad Kelly,chad kelly,,QB,4051,670.8,,
Mo Alie-Cox,mo alie cox,IND,TE,4054,527.6,613.0,
Davis Webb,davis webb,,QB,4061,590.3,619.8,
