cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
.  DST  LAC  Chargers  DST  LAC,166.0,154.16,114/191,79.2
J. Lane  WR  BAL  Ja'Kobi Lane  WR  BAL,167.0,154.29,114/191,53.5
C. Stroud  QB  HOU  C.J. Stroud  QB  HOU,168.0,154.69,94/195,39.2
D. Boston  WR  CLE  Denzel Boston  WR  CLE,169.0,154.7,120/190,56.6
T. Bigsby  RB  PHI  Tank Bigsby  RB  PHI,170.0,154.86,117/194,52.5
K. Mitchell  RB  LAC  Undisclosed: Questionable for Week 1 vs. Arizona  Keaton Mitchell  RB  LAC  Undisclosed: Questionable for Week 1 vs. Arizona,171.0,155.31,117/202,36.0
J. Bates  K  DET  Jake Bates  K  DET,172.0,155.76,114/195,83.7
.  DST  JAC  Jaguars  DST  JAC,173.0,156.28,117/192,74.6
K. Black  RB  SF  Kaelon Black  RB  SF,174.0,156.34,115/195,47.5
D. Sampson  RB  CLE  Dylan Sampson  RB  CLE,175.0,157.98,123/195,46.5
.  DST  ATL  Falcons  DST  ATL,176.0,158.13,109/204,35.9
A. Kamara  RB  NO  Knee - MCL: Questionable for Week 1 at Detroit  Alvin Kamara  RB  NO  Knee - MCL: Questionable for Week 1 at Detroit,177.0,158.32,111/201,40.8
B. Allen  RB  NYJ  Braelon Allen  RB  NYJ,178.0,158.88,121/197,43.1
.  DST  DET  Lions  DST  DET,179.0,159.13,111/201,48.5
J. Jeudy  WR  CLE  Jerry Jeudy  WR  CLE,180.0,159.21,117/199,44.6
B. Grupe  K  IND  Blake Grupe  K  IND,181.0,159.58,114/205,53.2
K. Allen  WR  IND  Keenan Allen  WR  IND,182.0,160.85,123/195,45.9
B. Robinson Jr.  RB  ATL  Brian Robinson Jr.  RB  ATL,183.0,161.58,120/202,37.9
H. Mevis  K  LAR  Harrison Mevis  K  LAR,184.0,161.64,120/203,72.4
H. Butker  K  KC  Harrison Butker  K  KC,185.0,162.01,116/204,54.7
