year,team,conference,elo,source_year
2020,Charlotte,Conference USA,1299,2020
2020,Cincinnati,American Athletic,1926,2020
2020,Clemson,ACC,2163,2020
2020,Coastal Carolina,Sun Belt,1704,2020
2020,Colorado,Pac-12,1419,2020
2020,Colorado State,Mountain West,1344,2020
2020,Duke,ACC,1192,2020
2020,East Carolina,American Athletic,1354,2020
2020,Eastern Michigan,Mid-American,1382,2020
2020,Florida,SEC,1800,2020
2020,Florida Atlantic,Conference USA,1507,2020
2020,Florida International,Conference USA,1312,2020
2020,Florida State,ACC,1283,2020
2020,Fresno State,Mountain West,1447,2020
2020,Georgia,SEC,1950,2020
2020,Georgia Southern,Sun Belt,1605,2020
2020,Georgia State,Sun Belt,1365,2020
2020,Georgia Tech,ACC,1305,2020
2020,Hawai'i,Mountain West,1449,2020
2020,Houston,American Athletic,1493,2020
2020,Illinois,Big Ten,1338,2020
2020,Indiana,Big Ten,1725,2020
2020,Iowa,Big Ten,1958,2020
2020,Iowa State,Big 12,1936,2020
2020,Kansas,Big 12,992,2020
2020,Kansas State,Big 12,1420,2020
2020,Kent State,Mid-American,1412,2020
2020,Kentucky,SEC,1575,2020
2020,Liberty,FBS Independents,1594,2020
2020,Louisiana,Sun Belt,1717,2020
2020,Louisiana Tech,Conference USA,1256,2020
2020,Louisville,ACC,1589,2020
2020,LSU,SEC,1756,2020
2020,Marshall,Conference USA,1552,2020
2020,Maryland,Big Ten,1320,2020
2020,Massachusetts,FBS Independents,841,2020
2020,Memphis,American Athletic,1582,2020
2020,Miami,ACC,1660,2020
2020,Miami (OH),Mid-American,1389,2020
2020,Michigan,Big Ten,1636,2020
2020,Michigan State,Big Ten,1386,2020
2020,Middle Tennessee,Conference USA,1222,2020
2020,Minnesota,Big Ten,1628,2020
2020,Mississippi State,SEC,1519,2020
2020,Missouri,SEC,1504,2020
2020,Navy,American Athletic,1320,2020
2020,NC State,ACC,1440,2020
2020,Nebraska,Big Ten,1505,2020
2020,Nevada,Mountain West,1482,2020
2020,New Mexico,Mountain West,1214,2020
2020,North Carolina,ACC,1837,2020
2020,Northern Illinois,Mid-American,1206,2020
2020,North Texas,Conference USA,1193,2020
2020,Northwestern,Big Ten,1709,2020
2020,Notre Dame,ACC,1924,2020
2020,Ohio,Mid-American,1596,2020
2020,Ohio State,Big Ten,2108,2020
2020,Oklahoma,Big 12,2062,2020
