year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion,source_year
2017,postseason,1,Ole Miss,SEC,0.8,6.66,5.86,657,724,core-v1,2017
2017,postseason,1,Marshall,Conference USA,0.38,-4.65,-5.03,865,856,core-v1,2017
2017,postseason,1,Central Michigan,Mid-American,0.25,-3.95,-4.19,755,849,core-v1,2017
2017,postseason,1,Middle Tennessee,Conference USA,0.08,-5.34,-5.42,829,884,core-v1,2017
2017,postseason,1,Miami (OH),Mid-American,-0.04,-0.95,-0.91,727,732,core-v1,2017
2017,postseason,1,Arizona State,Pac-12,-0.18,2.35,2.54,955,878,core-v1,2017
2017,postseason,1,Louisiana Tech,Conference USA,-0.51,2.15,2.66,752,760,core-v1,2017
2017,postseason,1,Northern Illinois,Mid-American,-0.54,-9.31,-8.77,836,814,core-v1,2017
2017,postseason,1,UTSA,Conference USA,-0.63,-4.97,-4.34,673,564,core-v1,2017
2017,postseason,1,Temple,American Athletic,-1.38,-3.13,-1.74,772,783,core-v1,2017
2017,postseason,1,UCLA,Pac-12,-1.58,3.59,5.18,868,939,core-v1,2017
2017,postseason,1,Virginia,ACC,-1.7,-5.2,-3.51,773,739,core-v1,2017
2017,postseason,1,SMU,American Athletic,-1.85,6.25,8.1,826,800,core-v1,2017
2017,postseason,1,UAB,Conference USA,-1.9,-0.84,1.06,715,751,core-v1,2017
2017,postseason,1,Baylor,Big 12,-2.08,-0.56,1.52,751,692,core-v1,2017
2017,postseason,1,Vanderbilt,SEC,-2.1,0.37,2.47,604,674,core-v1,2017
2017,postseason,1,Syracuse,ACC,-2.52,2.17,4.69,873,710,core-v1,2017
2017,postseason,1,Massachusetts,FBS Independents,-3.02,1.86,4.88,745,754,core-v1,2017
2017,postseason,1,Eastern Michigan,Mid-American,-3.34,-7.57,-4.23,836,776,core-v1,2017
2017,postseason,1,North Texas,Conference USA,-4.2,1.52,5.72,834,869,core-v1,2017
2017,postseason,1,Colorado State,Mountain West,-4.35,7.39,11.74,836,758,core-v1,2017
2017,postseason,1,Southern Miss,Conference USA,-4.78,-5.16,-0.38,820,747,core-v1,2017
2017,postseason,1,Cincinnati,American Athletic,-5.03,-0.81,4.22,697,777,core-v1,2017
2017,postseason,1,Tulane,American Athletic,-5.05,0.97,6.02,618,618,core-v1,2017
2017,postseason,1,Kentucky,SEC,-5.17,1.58,6.75,705,778,core-v1,2017
2017,postseason,1,California,Pac-12,-5.27,-4.25,1.03,785,768,core-v1,2017
2017,postseason,1,Utah State,Mountain West,-5.42,-7.76,-2.34,695,821,core-v1,2017
2017,postseason,1,Western Michigan,Mid-American,-5.87,-3.5,2.37,717,656,core-v1,2017
2017,postseason,1,Nebraska,Big Ten,-5.93,2.16,8.09,732,741,core-v1,2017
2017,postseason,1,Arkansas,SEC,-6.18,4.95,11.13,608,642,core-v1,2017
2017,postseason,1,North Carolina,ACC,-6.21,-4.09,2.12,681,733,core-v1,2017
2017,postseason,1,Air Force,Mountain West,-6.26,3.77,10.04,806,643,core-v1,2017
2017,postseason,1,New Mexico State,Sun Belt,-6.77,-4.56,2.21,956,943,core-v1,2017
2017,postseason,1,Tennessee,SEC,-6.92,-8.55,-1.62,610,717,core-v1,2017
2017,postseason,1,Wyoming,Mountain West,-7.01,-14.42,-7.41,660,755,core-v1,2017
2017,postseason,1,Buffalo,Mid-American,-7.28,-1.24,6.04,726,777,core-v1,2017
