batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
506702,,25,13.750000000000002,,,5.5,3.3000000000000003,0.55,0.0,0.0,2025,0.6000000000000001,0.0,0.0
514888,CH,247,148.89999999999998,0.2107033367414686,80.35611156685809,80.35,12.55,34.5,12.900000000000002,0.0,2026,0.15619166148102057,0.37391304347826093,0.0
514888,CU,123,73.94999999999999,0.29648942774566467,77.21512096774192,37.25,9.25,14.0,4.300000000000001,0.0,2026,0.2483221476510067,0.3071428571428572,0.0
514888,FC,236,141.94999999999996,0.33655043747529595,83.14435107376285,68.85,9.25,32.3,17.85,2.0,2026,0.13435003631082063,0.5526315789473685,0.061919504643962855
514888,FF,620,381.04999999999995,0.3697418842746907,84.34840538625089,186.35,28.150000000000002,76.15,40.7,3.2,2026,0.15105983364636438,0.5344714379514117,0.04202232435981615
514888,FS,88,51.099999999999994,0.3321426121993948,81.10384615384616,21.9,5.4,6.050000000000001,2.2,0.0,2026,0.24657534246575347,0.36363636363636365,0.0
514888,KC,51,32.55,0.29167061842105263,80.27466666666668,15.650000000000002,3.8500000000000005,5.95,2.75,0.0,2026,0.24600638977635783,0.4621848739495798,0.0
514888,SI,568,349.29999999999995,0.30794609153012503,79.3703615415177,153.05,15.3,71.5,23.25,1.6500000000000001,2026,0.09996733093760209,0.32517482517482516,0.023076923076923078
514888,SL,457,276.09999999999997,0.24696654877981644,79.07750472589795,150.64999999999998,37.800000000000004,69.10000000000001,17.75,0.55,2026,0.25091271158313977,0.2568740955137482,0.007959479015918957
514888,ST,298,186.39999999999998,0.2262387959718399,76.07811799850637,98.29999999999998,28.150000000000002,34.85,7.5,1.1,2026,0.28636826042726354,0.2152080344332855,0.03156384505021521
514888,SV,11,6.5,0.455906037735849,73.80000000000001,2.2,0.55,1.1,0.0,0.0,2026,0.25,0.0,0.0
514888,,56,30.799999999999997,,,9.9,1.6500000000000001,4.95,0.0,0.0,2025,0.16666666666666669,0.0,0.0
516782,CH,168,98.69999999999999,0.3586180548484289,81.58372093023257,50.8,16.3,18.1,7.950000000000001,1.0,2026,0.3208661417322835,0.4392265193370166,0.055248618784530384
