gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
776447,2025-09-06,2025-09-06T23:15:00Z,R,Final,Seattle Mariners,136,Atlanta Braves,144,10.0,2.0,Truist Park,4705,Regular Season,1,1.0,1.0,12.0,-8.0,,,
776448,2025-09-05,2025-09-06T01:40:00Z,R,Final,Boston Red Sox,111,Arizona Diamondbacks,109,5.0,10.0,Chase Field,15,Regular Season,1,2.0,2.0,15.0,5.0,,,
776449,2025-09-05,2025-09-06T00:05:00Z,R,Final,Houston Astros,117,Texas Rangers,140,3.0,4.0,Globe Life Field,5325,Regular Season,1,2.0,1.0,7.0,1.0,,,
776450,2025-09-05,2025-09-05T22:40:00Z,R,Final,New York Mets,121,Cincinnati Reds,113,5.0,4.0,Great American Ball Park,2602,Regular Season,1,2.0,2.0,9.0,-1.0,,,
776451,2025-09-05,2025-09-05T23:35:00Z,R,Final,Cleveland Guardians,114,Tampa Bay Rays,139,7.0,1.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,8.0,-6.0,,,
776452,2025-09-05,2025-09-05T22:40:00Z,R,Final,Chicago White Sox,145,Detroit Tigers,116,7.0,5.0,Comerica Park,2394,Regular Season,1,2.0,1.0,12.0,-2.0,,,
776453,2025-09-05,2025-09-05T22:40:00Z,R,Final,Milwaukee Brewers,158,Pittsburgh Pirates,134,5.0,2.0,PNC Park,31,Regular Season,1,1.0,1.0,7.0,-3.0,,,
776454,2025-09-05,2025-09-05T23:05:00Z,R,Final,Los Angeles Dodgers,119,Baltimore Orioles,110,1.0,2.0,Oriole Park at Camden Yards,2,Regular Season,1,2.0,1.0,3.0,1.0,,,
776455,2025-09-05,2025-09-05T18:20:00Z,R,Final,Washington Nationals,120,Chicago Cubs,112,5.0,11.0,Wrigley Field,17,Regular Season,1,2.0,2.0,16.0,6.0,,,
776456,2025-09-05,2025-09-05T23:10:00Z,R,Final,Philadelphia Phillies,143,Miami Marlins,146,9.0,3.0,loanDepot park,4169,Regular Season,1,2.0,1.0,12.0,-6.0,,,
