season,venue,venue_id,games,avg_total_runs,league_runs_per_game,run_factor
2026,Sutter Health Park,2529,64,11.28125,8.913208983631518,1.265677717275251
2026,T-Mobile Park,680,68,7.647058823529412,8.913208983631518,0.8579467661504064
2026,TD Ballpark,2536,3,10.333333333333334,8.913208983631518,1.1593280660545235
2026,Target Field,3312,70,9.085714285714285,8.913208983631518,1.0193538940239772
2026,Tempe Diablo Stadium,2500,3,9.666666666666666,8.913208983631518,1.0845327069542317
2026,Tropicana Field,12,71,8.704225352112676,8.913208983631518,0.9765534913516977
2026,Truist Park,4705,118,8.90677966101695,8.913208983631518,0.9992786747594076
2026,UNIQLO Field at Dodger Stadium,22,69,8.333333333333334,8.913208983631518,0.9349419887536481
2026,Wrigley Field,17,85,9.023529411764706,8.913208983631518,1.0123771840574796
2026,Yankee Stadium,3313,113,7.6902654867256635,8.913208983631518,0.8627942529843399
2026,loanDepot park,4169,69,7.956521739130435,8.913208983631518,0.8926663510013091
